store_ID,day_of_week,nb_customers_on_day,open,promotion,school_holiday,promo_customers_interaction,state_holiday_a,state_holiday_b,state_holiday_c,year,month,day,sales
415,7,0,0,0,0,0,False,False,False,2015,3,1,293
27,7,0,0,0,0,0,False,False,False,2013,12,29,18
404,3,657,1,1,0,657,False,False,False,2014,3,19,6811
683,2,862,1,0,0,0,False,False,False,2013,1,29,6260
920,3,591,1,1,0,591,False,False,False,2014,3,19,6080
758,4,569,1,0,0,0,False,False,False,2014,6,26,5530
563,1,321,1,1,0,321,False,False,False,2015,2,16,2993
930,6,1367,1,0,0,0,False,False,False,2014,11,22,7511
756,4,0,0,1,0,0,True,False,False,2015,6,4,81
49,2,546,1,1,0,546,False,False,False,2015,1,13,5652
787,4,968,1,0,1,0,False,False,False,2015,7,23,7903
782,4,472,1,0,0,0,False,False,False,2013,9,19,3771
897,7,0,0,0,0,0,False,False,False,2014,4,20,0
933,1,965,1,0,0,0,False,False,False,2013,12,9,6869
218,2,804,1,0,1,0,False,False,False,2015,4,7,5554
554,3,499,1,1,1,499,False,False,False,2013,10,9,5624
362,1,1337,1,1,1,1337,False,False,False,2013,8,12,13318
655,3,560,1,0,0,0,False,False,False,2014,4,9,4976
785,3,461,1,0,1,0,False,False,False,2014,12,31,4616
690,3,866,1,1,0,866,False,False,False,2014,3,19,8716
1103,7,0,0,0,0,0,False,False,False,2015,2,15,111
431,1,1367,1,1,0,1367,False,False,False,2014,6,2,13555
127,2,642,1,1,0,642,False,False,False,2013,9,24,6259
579,5,0,0,1,1,0,False,True,False,2013,3,29,0
248,6,1139,1,0,0,0,False,False,False,2013,8,3,8069
962,6,0,0,0,0,0,False,False,False,2014,1,11,0
224,2,515,1,1,1,515,False,False,False,2013,3,26,5304
208,3,355,1,1,1,355,False,False,False,2013,6,19,3450
401,1,1063,1,1,0,1063,False,False,False,2015,3,30,10565
503,7,0,0,0,0,0,False,False,False,2013,9,29,118
221,4,562,1,1,0,562,False,False,False,2015,3,5,5868
268,7,0,0,0,0,0,False,False,False,2014,11,2,0
799,2,927,1,1,1,927,False,False,False,2013,8,27,9133
260,6,894,1,0,0,0,False,False,False,2014,10,25,6989
1041,2,594,1,0,0,0,False,False,False,2015,3,10,5091
350,2,533,1,1,0,533,False,False,False,2013,6,18,5979
286,7,0,0,0,0,0,False,False,False,2015,4,5,155
620,2,709,1,1,0,709,False,False,False,2013,6,4,7698
521,1,484,1,1,0,484,False,False,False,2013,6,17,5961
649,4,435,1,1,0,435,False,False,False,2014,11,27,4624
1059,2,1239,1,1,0,1239,False,False,False,2015,6,2,10912
486,6,373,1,0,0,0,False,False,False,2014,6,28,3754
252,4,642,1,0,0,0,False,False,False,2013,10,17,6179
656,3,421,1,1,0,421,False,False,False,2013,5,15,4573
642,5,394,1,0,0,0,False,False,False,2014,9,12,4014
655,5,761,1,1,0,761,False,False,False,2015,5,8,7355
992,3,627,1,0,0,0,False,False,False,2013,6,26,5068
143,2,731,1,1,0,731,False,False,False,2015,6,2,7930
421,5,941,1,1,1,941,False,False,False,2014,7,18,7402
246,4,1157,1,1,0,1157,False,False,False,2014,10,2,9546
960,1,720,1,1,0,720,False,False,False,2014,4,28,7312
313,5,697,1,0,0,0,False,False,False,2014,1,17,5628
291,6,534,1,0,0,0,False,False,False,2013,6,29,4781
924,6,333,1,0,0,0,False,False,False,2014,5,31,3286
337,2,430,1,1,1,430,False,False,False,2013,8,13,5174
1024,4,607,1,0,0,0,False,False,False,2015,3,12,5187
56,3,402,1,1,0,402,False,False,False,2014,1,22,5156
507,3,532,1,0,0,0,False,False,False,2014,4,9,5224
970,5,406,1,0,0,0,False,False,False,2013,3,15,2877
846,2,828,1,0,0,0,False,False,False,2015,6,23,6811
549,3,582,1,0,0,0,False,False,False,2014,8,27,5877
1095,4,852,1,1,1,852,False,False,False,2013,3,28,7761
859,5,709,1,1,0,709,False,False,False,2013,4,12,6263
914,2,1178,1,1,1,1178,False,False,False,2014,7,29,10716
888,2,634,1,0,0,0,False,False,False,2015,6,23,5540
442,2,517,1,1,0,517,False,False,False,2014,11,4,5648
34,6,905,1,0,0,0,False,False,False,2013,3,9,7758
199,4,581,1,0,0,0,False,False,False,2014,7,10,5588
854,4,657,1,1,0,657,True,False,False,2015,6,4,6437
611,2,485,1,1,0,485,False,False,False,2014,1,21,5081
808,4,528,1,0,1,0,False,False,False,2015,4,9,5586
1105,4,410,1,0,0,0,False,False,False,2015,1,22,3915
